REGION_ID,YEAR,TIMESLICE,value
1,2050,1,60420
1,2050,2,57793
1,2050,3,55476
1,2050,4,51663
1,2050,5,47406
1,2050,6,47811
1,2050,7,48576
1,2050,8,50458
1,2050,9,52534
1,2050,10,54054
1,2050,11,55262
1,2050,12,57638
1,2050,13,56731
1,2050,14,54885
1,2050,15,53372
1,2050,16,53755
1,2050,17,57476
1,2050,18,59671
1,2050,19,60705
1,2050,20,59767
1,2050,21,58924
1,2050,22,61455
1,2050,23,61902
1,2050,24,63829
1,2050,25,63384
1,2050,26,60152
1,2050,27,58371
1,2050,28,54585
1,2050,29,50626
1,2050,30,55011
1,2050,31,59680
1,2050,32,63063
1,2050,33,64630
1,2050,34,64995
1,2050,35,65435
1,2050,36,66808
1,2050,37,67065
1,2050,38,66407
1,2050,39,64873
1,2050,40,65588
1,2050,41,69605
1,2050,42,71862
1,2050,43,70729
1,2050,44,68650
1,2050,45,68704
1,2050,46,71831
1,2050,47,71677
1,2050,48,68209
1,2050,49,67649
1,2050,50,64452
1,2050,51,62978
1,2050,52,59305
1,2050,53,55654
1,2050,54,61010
1,2050,55,66893
1,2050,56,69991
1,2050,57,71009
1,2050,58,70388
1,2050,59,70160
1,2050,60,70491
1,2050,61,70847
1,2050,62,70261
1,2050,63,69272
1,2050,64,70164
1,2050,65,73768
1,2050,66,76109
1,2050,67,74764
1,2050,68,72043
1,2050,69,71324
1,2050,70,74183
1,2050,71,73655
1,2050,72,69127
1,2050,73,68482
1,2050,74,65183
1,2050,75,63584
1,2050,76,59782
1,2050,77,56009
1,2050,78,61165
1,2050,79,66812
1,2050,80,69623
1,2050,81,70376
1,2050,82,69413
1,2050,83,68932
1,2050,84,69054
1,2050,85,68983
1,2050,86,67926
1,2050,87,66354
1,2050,88,67379
1,2050,89,71373
1,2050,90,74465
1,2050,91,73527
1,2050,92,71304
1,2050,93,71012
1,2050,94,74095
1,2050,95,73687
1,2050,96,69269
1,2050,97,68557
1,2050,98,65385
1,2050,99,63666
1,2050,100,59680
1,2050,101,55524
1,2050,102,59844
1,2050,103,64741
1,2050,104,67914
1,2050,105,69284
1,2050,106,68861
1,2050,107,68648
1,2050,108,69108
1,2050,109,69226
1,2050,110,68614
1,2050,111,67048
1,2050,112,67616
1,2050,113,71333
1,2050,114,73429
1,2050,115,72355
1,2050,116,70183
1,2050,117,70159
1,2050,118,73580
1,2050,119,73501
1,2050,120,62228
1,2050,121,61282
1,2050,122,58689
1,2050,123,56748
1,2050,124,53566
1,2050,125,50342
1,2050,126,52015
1,2050,127,54044
1,2050,128,57191
1,2050,129,59918
1,2050,130,60627
1,2050,131,60804
1,2050,132,62313
1,2050,133,61527
1,2050,134,60151
1,2050,135,58566
1,2050,136,58998
1,2050,137,62712
1,2050,138,64592
1,2050,139,64516
1,2050,140,62727
1,2050,141,61673
1,2050,142,64624
1,2050,143,65487
1,2050,144,63418
1,2050,145,62652
1,2050,146,59783
1,2050,147,57130
1,2050,148,52947
1,2050,149,48382
1,2050,150,48385
1,2050,151,48703
1,2050,152,50130
1,2050,153,51846
1,2050,154,53189
1,2050,155,54230
1,2050,156,56433
1,2050,157,55493
1,2050,158,53537
1,2050,159,51817
1,2050,160,52489
1,2050,161,56678
1,2050,162,59557
1,2050,163,60204
1,2050,164,59813
1,2050,165,59449
1,2050,166,62178
1,2050,167,62800
1,2050,168,65927
1,2050,169,65911
1,2050,170,62889
1,2050,171,61332
1,2050,172,57852
1,2050,173,54633
1,2050,174,61031
1,2050,175,67488
1,2050,176,70501
1,2050,177,71257
1,2050,178,70064
1,2050,179,69432
1,2050,180,69569
1,2050,181,69921
1,2050,182,69022
1,2050,183,67462
1,2050,184,68417
1,2050,185,71921
1,2050,186,74645
1,2050,187,73719
1,2050,188,71328
1,2050,189,70933
1,2050,190,73834
1,2050,191,73339
1,2050,192,70002
1,2050,193,69386
1,2050,194,66087
1,2050,195,64393
1,2050,196,60486
1,2050,197,56816
