sce,annualcost(bn),capex,inv_gen,inv_stor,inv_grid,opexfix,fix_gen,fix_stor,fix_grid,opexvar,var_gen,var_stor,var_startup,var_co2,var_exchange,nuc(GW),CCGT_new(GW),OCGT_new(GW),pv_large(GW),pv_small(GW),onshore(GW),offshore(GW),ires(GW),hydro_ror(GW),hydro_dam(GW),phs_power(GW),phs_energy(GWh),ptg_power(GW),battery1_power(GW),battery1_energy(GWh),battery4_power(GW),battery4_energy(GWh),battery8_power(GW),battery8_energy(GWh),import(GW),export(GW),nucpro(TWh),pvlargepro(TWh),pvsmallpro(TWh),onshorepro(TWh),offshorepro(TWh),gasccgtpro(TWh),gasocgtpro(TWh),hydro_rorpro(TWh),hydro_dampro(TWh),phs_char(TWh),phs_disc(TWh),ptg_char(TWh),ptg_disc(TWh),battery1_char(TWh),battery1_disc(TWh),battery4_char(TWh),battery4_disc(TWh),battery8_char(TWh),battery8_disc(TWh),excess&loss(TWh),exchange(TWh),demand(TWh),nucper,resper,fossilper,emission(MT),totalemission(MT),averageshadowprice(euro/MWh)
1_uc,30.97,7.96,7.96,0.0,0.0,5.06,4.99,0.07,0.0,12.86,12.82,0.0,0.04,5.09,0.0,0.0,50.3,33.6,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,275.5,6.9,41.7,16.7,-3.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,491,-0.0,0.425,0.575,96.07,192.04,40.60076645949043
2_uc,30.79,7.98,7.77,0.22,0.0,4.9,4.81,0.09,0.0,12.83,12.81,0.0,0.02,5.09,0.0,0.0,50.1,27.0,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,275.7,6.6,41.7,16.7,-2.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,491,-0.0,0.426,0.574,95.97,192.04,40.947512883939936
1,27.91,10.49,10.42,0.07,0.0,5.9,5.81,0.09,0.0,8.24,8.24,0.0,0.0,3.27,0.0,0.0,40.8,34.4,0.0,0.0,27.4,52.6,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,198.2,172.5,7.7,41.7,16.7,-8.8,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9,0.0,491,-0.0,0.64,0.36,61.76,122.69,36.37180630013436
2,27.76,10.62,10.35,0.27,0.0,5.79,5.68,0.11,0.0,8.13,8.13,0.0,0.0,3.23,0.0,0.0,40.4,29.3,0.0,0.0,25.8,54.2,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7,204.3,170.2,7.6,41.7,16.7,-8.3,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.6,0.0,491,-0.0,0.645,0.355,60.92,122.69,36.24217306566195
1_uc,28.82,10.63,10.56,0.07,0.0,6.03,5.94,0.09,0.0,8.73,8.62,0.0,0.11,3.42,0.0,0.0,40.8,39.5,0.0,0.0,27.4,52.6,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,198.2,177.2,10.4,41.7,16.7,-12.9,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.4,0.0,491,-0.0,0.631,0.369,64.62,125.74,35.173742576420864
2_uc,28.12,10.74,10.48,0.27,0.0,5.91,5.8,0.11,0.0,8.23,8.15,0.0,0.07,3.24,0.0,0.0,40.4,33.9,0.0,0.0,25.8,54.2,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7,204.3,170.7,7.6,41.7,16.7,-9.2,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9,0.0,491,-0.0,0.644,0.356,61.12,125.74,36.26820442145358
1,26.99,10.7,10.63,0.07,0.0,6.27,6.18,0.09,0.0,7.17,7.17,0.0,0.0,2.85,0.0,0.0,36.2,36.9,17.1,0.0,77.8,25.1,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,180.3,94.4,148.1,8.1,41.7,16.7,-7.8,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.5,0.0,491,-0.0,0.694,0.306,53.74,105.71,34.61616297552032
2,26.87,11.07,10.67,0.4,0.0,6.12,6.0,0.11,0.0,6.93,6.93,0.0,0.0,2.75,0.0,0.0,35.4,30.7,20.8,0.0,68.8,30.4,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,159.5,114.6,143.1,7.9,41.7,16.7,-7.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.7,0.0,491,-0.0,0.703,0.297,51.96,105.71,34.51711262575748
1_uc,27.93,10.85,10.78,0.07,0.0,6.41,6.32,0.09,0.0,7.66,7.58,0.0,0.08,3.01,0.0,0.0,36.2,42.2,17.1,0.0,77.8,25.1,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,180.3,94.4,153.7,10.5,41.7,16.7,-12.3,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.7,0.0,491,-0.0,0.683,0.317,56.81,108.86,34.15626694664717
2_uc,27.2,11.2,10.8,0.4,0.0,6.24,6.13,0.11,0.0,7.0,6.94,0.0,0.05,2.76,0.0,0.0,35.4,35.7,20.8,0.0,68.8,30.4,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.7,0.0,159.5,114.6,143.3,7.9,41.7,16.7,-7.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.8,0.0,491,-0.0,0.703,0.297,52.05,108.86,34.61343159030104
