sce,annualcost(bn),capex,inv_gen,inv_stor,inv_grid,opexfix,fix_gen,fix_stor,fix_grid,opexvar,var_gen,var_stor,var_startup,var_co2,var_exchange,nuc(GW),CCGT_new(GW),OCGT_new(GW),pv_large(GW),pv_small(GW),onshore(GW),offshore(GW),ires(GW),hydro_ror(GW),hydro_dam(GW),phs_power(GW),phs_energy(GWh),ptg_power(GW),battery1_power(GW),battery1_energy(GWh),battery4_power(GW),battery4_energy(GWh),battery8_power(GW),battery8_energy(GWh),import(GW),export(GW),nucpro(TWh),pvlargepro(TWh),pvsmallpro(TWh),onshorepro(TWh),offshorepro(TWh),gasccgtpro(TWh),gasocgtpro(TWh),hydro_rorpro(TWh),hydro_dampro(TWh),phs_char(TWh),phs_disc(TWh),ptg_char(TWh),ptg_disc(TWh),battery1_char(TWh),battery1_disc(TWh),battery4_char(TWh),battery4_disc(TWh),battery8_char(TWh),battery8_disc(TWh),excess&loss(TWh),exchange(TWh),demand(TWh),nucper,resper,fossilper,emission(MT),totalemission(MT),averageshadowprice(euro/MWh)
1,26.7,10.75,10.68,0.07,0.0,6.45,6.35,0.09,0.0,6.99,6.99,0.0,0.0,2.52,0.0,10.0,32.5,31.1,0.0,0.0,47.2,32.8,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.5,0.0,0.0,109.4,123.5,132.3,6.2,41.7,16.7,-8.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9,0.0,491,0.132,0.588,0.28,47.5,93.83,35.31213243517753
2,26.58,10.95,10.66,0.28,0.0,6.35,6.24,0.11,0.0,6.84,6.83,0.0,0.0,2.46,0.0,10.0,32.0,26.3,0.0,0.0,44.6,35.4,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2,0.0,0.0,103.3,133.4,129.0,6.0,41.7,16.7,-8.1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8,0.0,491,0.132,0.596,0.273,46.33,93.83,35.22079218521507
1_uc,27.37,10.89,10.82,0.07,0.0,6.58,6.49,0.09,0.0,7.3,7.23,0.0,0.07,2.6,0.0,10.0,32.5,36.2,0.0,0.0,47.2,32.8,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,0.0,0.0,109.4,123.5,136.0,6.9,41.7,16.7,-11.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.7,0.0,491,0.136,0.58,0.284,49.07,95.46,34.56138739013418
2_uc,26.91,11.08,10.79,0.28,0.0,6.47,6.36,0.11,0.0,6.91,6.85,0.0,0.05,2.46,0.0,10.0,32.0,31.0,0.0,0.0,44.6,35.4,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.2,0.0,0.0,103.3,133.4,129.1,6.1,41.7,16.7,-8.6,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7,0.0,491,0.133,0.594,0.272,46.4,95.46,35.23560398281167
1,25.96,11.31,11.24,0.07,0.0,6.83,6.74,0.09,0.0,5.78,5.77,0.0,0.0,2.05,0.0,10.0,27.2,34.9,24.3,0.0,82.2,13.4,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,28.9,0.0,190.5,50.7,103.8,7.8,41.7,16.7,-8.2,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3,0.0,491,0.123,0.655,0.222,38.69,76.21,33.98829023630159
2,25.85,11.58,11.18,0.4,0.0,6.66,6.55,0.11,0.0,5.62,5.62,0.0,0.0,1.99,0.0,10.0,26.5,28.7,27.5,0.0,75.5,17.0,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.8,32.7,0.0,175.0,64.0,100.3,7.8,41.7,16.7,-7.4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.5,0.0,491,0.124,0.66,0.216,37.51,76.21,33.95074714106471
1_uc,26.67,11.45,11.38,0.07,0.0,6.96,6.87,0.09,0.0,6.12,6.06,0.0,0.05,2.14,0.0,10.0,27.2,40.1,24.3,0.0,82.2,13.4,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.5,28.9,0.0,190.5,50.7,107.8,8.6,41.7,16.7,-11.2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.5,0.0,491,0.132,0.641,0.227,40.4,77.95,33.219402497722754
2_uc,26.17,11.72,11.32,0.4,0.0,6.79,6.68,0.11,0.0,5.67,5.63,0.0,0.04,1.99,0.0,10.0,26.5,33.8,27.5,0.0,75.5,17.0,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.2,32.7,0.0,175.0,64.0,100.4,7.8,41.7,16.7,-7.6,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9,0.0,491,0.124,0.659,0.216,37.55,77.95,34.05433547028226
1,25.6,12.19,12.12,0.07,0.0,7.26,7.17,0.09,0.0,4.56,4.56,0.0,0.0,1.59,0.0,10.0,22.9,38.2,51.5,0.0,108.5,0.0,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,61.3,0.0,251.3,0.0,75.4,9.4,41.7,16.7,-10.2,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.5,0.0,491,0.111,0.723,0.165,29.92,59.55,31.369044835480544
2,25.47,12.3,11.89,0.41,0.0,7.07,6.96,0.11,0.0,4.53,4.53,0.01,0.0,1.57,0.0,10.0,21.9,32.4,53.0,0.0,107.0,0.0,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,63.0,0.0,248.0,0.0,73.9,9.9,41.7,16.7,-8.8,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.1,0.0,491,0.113,0.723,0.164,29.62,59.55,31.66350023520939
1_uc,26.47,12.34,12.27,0.07,0.0,7.39,7.3,0.09,0.0,5.03,4.96,0.0,0.07,1.71,0.0,10.0,22.9,43.4,51.5,0.0,108.5,0.0,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.3,61.3,0.0,251.3,0.0,80.7,10.7,41.7,16.7,-14.4,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.2,0.0,491,0.124,0.703,0.173,32.3,62.0,30.476177002723933
2_uc,25.81,12.44,12.03,0.41,0.0,7.2,7.09,0.11,0.0,4.6,4.55,0.01,0.05,1.57,0.0,10.0,21.9,37.6,53.0,0.0,107.0,0.0,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.9,63.0,0.0,248.0,0.0,74.0,10.0,41.7,16.7,-9.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.0,0.0,491,0.115,0.721,0.164,29.7,62.0,31.764072608122927
1,25.98,13.88,13.81,0.07,0.0,7.88,7.79,0.09,0.0,3.15,3.15,0.0,0.0,1.07,0.0,10.0,17.5,43.0,75.0,0.0,125.0,0.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.6,89.3,0.0,289.6,0.0,44.7,10.7,41.7,16.7,-13.8,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.9,0.0,491,0.086,0.811,0.103,20.16,39.33,25.9196559223148
2,25.74,14.12,13.4,0.72,0.0,7.55,7.43,0.12,0.0,3.05,3.04,0.01,0.0,1.02,0.0,10.0,16.0,34.2,80.7,0.0,119.3,0.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.4,96.1,0.0,276.4,0.0,41.3,10.9,41.7,16.7,-11.9,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.0,0.0,491,0.091,0.811,0.098,19.17,39.33,26.74745813314759
1_uc,27.17,14.03,13.96,0.07,0.0,8.02,7.93,0.09,0.0,3.86,3.77,0.0,0.09,1.26,0.0,10.0,17.5,48.2,75.0,0.0,125.0,0.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7,89.3,0.0,289.6,0.0,50.3,14.2,41.7,16.7,-17.4,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.5,0.0,491,0.108,0.777,0.115,23.78,43.02,25.52281310747965
2_uc,26.1,14.27,13.54,0.72,0.0,7.69,7.57,0.12,0.0,3.12,3.06,0.01,0.05,1.02,0.0,10.0,16.0,39.4,80.7,0.0,119.3,0.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1,96.1,0.0,276.4,0.0,41.5,11.0,41.7,16.7,-12.2,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38.7,0.0,491,0.094,0.808,0.098,19.25,43.02,26.7956346459979
1,27.69,16.39,16.32,0.07,0.0,8.66,8.57,0.09,0.0,1.98,1.98,0.0,0.0,0.66,0.0,10.0,11.7,48.6,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.9,119.0,0.0,289.6,56.5,20.7,11.3,41.7,16.7,-14.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-94.9,0.0,491,0.056,0.89,0.054,12.4,22.72,18.70627744537222
2,27.36,16.77,15.92,0.85,0.0,8.34,8.22,0.12,0.0,1.7,1.69,0.01,0.0,0.55,0.0,10.0,9.1,38.7,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,119.0,0.0,289.6,56.5,15.2,10.8,41.7,16.7,-13.5,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.3,0.0,491,0.055,0.9,0.045,10.32,22.72,17.79454016158312
1_uc,29.04,16.54,16.47,0.07,0.0,8.79,8.7,0.09,0.0,2.84,2.76,0.0,0.08,0.87,0.0,10.0,11.7,53.9,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,119.0,0.0,289.6,56.5,25.8,16.1,41.7,16.7,-18.6,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-128.3,0.0,491,0.092,0.841,0.067,16.44,26.82,20.511747738733856
2_uc,27.71,16.92,16.06,0.85,0.0,8.48,8.35,0.12,0.0,1.77,1.72,0.01,0.04,0.55,0.0,10.0,9.1,44.0,100.0,0.0,125.0,15.0,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,119.0,0.0,289.6,56.5,15.3,10.9,41.7,16.7,-13.6,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-88.5,0.0,491,0.058,0.897,0.045,10.38,26.82,18.080600642633655
1,32.08,20.58,20.51,0.07,0.0,9.97,9.88,0.09,0.0,1.14,1.14,0.0,0.0,0.39,0.0,10.0,0.2,59.6,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8,119.0,0.0,289.6,207.2,0.2,15.2,41.7,16.7,-10.6,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-213.7,0.0,491,0.024,0.954,0.022,7.36,13.33,13.099578311906626
2,31.78,20.79,20.21,0.59,0.0,9.71,9.6,0.12,0.0,0.96,0.95,0.01,0.0,0.32,0.0,10.0,0.0,49.0,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,119.0,0.0,289.6,207.2,0.0,12.4,41.7,16.7,-10.3,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.4,0.0,491,0.023,0.959,0.018,5.97,13.33,12.433350000012252
1_uc,33.24,20.72,20.65,0.07,0.0,10.1,10.01,0.09,0.0,1.89,1.85,0.0,0.04,0.52,0.0,10.0,0.2,64.9,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.2,119.0,0.0,289.6,207.2,0.2,20.2,41.7,16.7,-18.5,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-255.6,0.0,491,0.074,0.899,0.027,9.8,15.82,14.742676723347405
2_uc,32.11,20.94,20.35,0.59,0.0,9.85,9.73,0.12,0.0,1.01,0.97,0.01,0.03,0.32,0.0,10.0,0.0,54.1,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,119.0,0.0,289.6,207.2,0.0,12.5,41.7,16.7,-10.4,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-210.8,0.0,491,0.025,0.957,0.018,6.02,15.82,12.505994439961642
