sce,annualcost(bn),capex,inv_gen,inv_stor,inv_grid,opexfix,fix_gen,fix_stor,fix_grid,opexvar,var_gen,var_stor,var_startup,var_co2,var_exchange,nuc(GW),CCGT_new(GW),OCGT_new(GW),pv_large(GW),pv_small(GW),onshore(GW),offshore(GW),ires(GW),hydro_ror(GW),hydro_dam(GW),phs_power(GW),phs_energy(GWh),ptg_power(GW),battery1_power(GW),battery1_energy(GWh),battery4_power(GW),battery4_energy(GWh),battery8_power(GW),battery8_energy(GWh),import(GW),export(GW),nucpro(TWh),pvlargepro(TWh),pvsmallpro(TWh),onshorepro(TWh),offshorepro(TWh),gasccgtpro(TWh),gasocgtpro(TWh),hydro_rorpro(TWh),hydro_dampro(TWh),phs_char(TWh),phs_disc(TWh),ptg_char(TWh),ptg_disc(TWh),battery1_char(TWh),battery1_disc(TWh),battery4_char(TWh),battery4_disc(TWh),battery8_char(TWh),battery8_disc(TWh),excess&loss(TWh),exchange(TWh),demand(TWh),nucper,resper,fossilper,emission(MT),totalemission(MT),averageshadowprice(euro/MWh)
opt1,24.33,15.1,14.75,0.07,0.28,9.24,9.15,0.09,0.0,3.48,3.47,0.0,0.0,0.0,-3.49,55.4,0.0,0.0,4.9,0.0,74.0,0.0,78.9,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.4,5.9,0.0,171.4,0.0,0.0,0.0,41.7,16.7,-7.3,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2,-89.8,491,0.596,0.404,-0.0,0.0,135.11,27.56086330415152
1,29.44,3.6,3.32,0.0,0.28,3.34,3.27,0.07,0.0,15.54,15.54,0.0,0.0,6.17,0.79,0.0,60.4,8.9,0.0,0.0,0.0,0.0,0.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.9,2.0,41.7,16.7,-1.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,491,-0.0,0.145,0.855,116.4,311.06,41.102623077551
1,25.64,7.49,7.21,0.0,0.28,4.47,4.4,0.07,0.0,9.5,9.5,0.0,0.0,3.77,0.41,0.0,40.6,24.4,0.0,0.0,0.0,40.0,40.0,11.8,8.8,4.6,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.7,204.7,4.8,41.7,16.7,-2.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,73.2,491,-0.0,0.5,0.5,71.19,261.65,40.29987453595258
1,24.03,10.84,10.49,0.07,0.28,5.55,5.46,0.09,0.0,5.55,5.55,0.0,0.0,2.21,-0.12,0.0,27.9,33.3,0.0,0.0,14.0,66.0,80.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,248.6,114.5,6.4,41.7,16.7,-6.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.9,39.4,491,-0.0,0.737,0.263,41.62,223.32,36.44135640813259
1,23.34,11.62,11.27,0.07,0.28,6.18,6.09,0.09,0.0,4.0,4.0,0.0,0.0,1.59,-0.04,0.0,20.9,37.5,0.0,0.0,75.1,44.9,120.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.9,169.3,79.1,6.9,41.7,16.7,-6.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.9,22.1,491,-0.0,0.824,0.176,29.97,209.7,34.586405403276046
1,23.06,12.19,11.84,0.07,0.28,6.66,6.56,0.09,0.0,3.12,3.11,0.0,0.0,1.24,-0.14,0.0,16.0,39.5,12.1,0.0,125.0,22.9,160.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0.0,289.6,86.2,58.8,7.4,41.7,16.7,-7.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.9,-1.0,491,-0.0,0.871,0.129,23.37,200.15,33.616753349235104
1,23.28,13.64,13.3,0.07,0.28,7.05,6.95,0.09,0.0,2.12,2.12,0.0,0.0,0.85,-0.38,0.0,10.4,42.8,51.0,0.0,125.0,24.0,200.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.7,0.0,289.6,90.5,35.0,8.6,41.7,16.7,-8.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.2,-21.3,491,-0.0,0.92,0.08,15.95,188.03,32.2418479116236
1,24.05,15.14,14.8,0.07,0.28,7.48,7.39,0.09,0.0,1.43,1.43,0.0,0.0,0.57,-0.58,0.0,6.6,45.6,90.3,0.0,125.0,24.7,240.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.5,0.0,289.6,93.2,18.6,9.3,41.7,16.7,-10.5,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44.2,-39.6,491,-0.0,0.952,0.048,10.74,177.65,30.518527055399066
1,27.11,18.68,18.34,0.07,0.28,8.56,8.46,0.09,0.0,0.58,0.58,0.0,0.0,0.23,-0.95,0.0,0.0,49.7,100.0,0.0,125.0,55.0,280.0,11.8,8.8,6.1,121.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,289.6,207.2,0.0,9.2,41.7,16.7,-12.2,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,-103.3,491,-0.0,0.987,0.013,4.4,157.74,25.688033200636582
